ax,ay,az,gx,gy,gz,label
0.0397,-0.0253,1.0103,0.1831,-0.1221,0.0000,background
0.0392,-0.0245,1.0111,0.3052,-0.1221,0.0000,background
0.0389,-0.0243,1.0115,0.3052,0.0000,0.0610,background
0.0389,-0.0240,1.0103,0.2441,-0.1221,0.0610,background
0.0386,-0.0254,1.0101,0.2441,0.0610,0.0000,background
0.0396,-0.0249,1.0117,0.1831,-0.0610,0.0000,background
0.0394,-0.0243,1.0096,0.2441,0.0000,-0.0610,background
0.0394,-0.0251,1.0107,0.3052,-0.0610,0.0610,background
0.0400,-0.0244,1.0103,0.3052,-0.0610,0.0000,background
0.0393,-0.0248,1.0111,0.3052,-0.1221,0.0610,background
0.0394,-0.0237,1.0107,0.2441,0.0000,0.0000,background
0.0393,-0.0259,1.0109,0.1831,-0.0610,0.1221,background
0.0399,-0.0249,1.0105,0.3052,-0.0610,0.0610,background
0.0386,-0.0239,1.0105,0.1831,-0.1221,0.1221,background
0.0398,-0.0249,1.0098,0.2441,-0.0610,0.0610,background
0.0385,-0.0244,1.0114,0.3052,-0.0610,0.0000,background
0.0399,-0.0247,1.0103,0.2441,-0.1221,0.0000,background
0.0392,-0.0248,1.0098,0.1831,-0.0610,0.0000,background
0.0389,-0.0240,1.0105,0.2441,-0.0610,0.0000,background
0.0394,-0.0240,1.0115,0.2441,-0.0610,0.0610,background
0.0388,-0.0248,1.0101,0.2441,-0.0610,0.0610,background
0.0388,-0.0242,1.0100,0.1831,0.0000,0.0610,background
0.0389,-0.0259,1.0098,0.3052,-0.0610,0.0610,background
0.0387,-0.0249,1.0111,0.2441,-0.1221,0.0610,background
0.0396,-0.0242,1.0117,0.2441,-0.0610,0.0610,background
0.0389,-0.0254,1.0112,0.3662,-0.1221,0.0610,background
0.0400,-0.0233,1.0099,0.2441,-0.0610,0.0610,background
0.0399,-0.0245,1.0115,0.2441,-0.0610,0.0610,background
0.0391,-0.0233,1.0099,0.1831,0.0000,0.0000,background
0.0386,-0.0251,1.0106,0.3052,0.0000,0.0000,background
0.0394,-0.0254,1.0111,0.2441,-0.0610,0.0000,background
0.0393,-0.0240,1.0106,0.2441,-0.0610,0.0000,background
0.0386,-0.0253,1.0103,0.1831,0.0000,0.0610,background
0.0397,-0.0238,1.0105,0.3052,-0.0610,0.0000,background
0.0386,-0.0249,1.0100,0.3052,-0.1221,0.0610,background
0.0406,-0.0249,1.0095,0.3052,0.0000,0.0610,background
0.0392,-0.0244,1.0110,0.2441,-0.0610,0.0000,background
0.0398,-0.0250,1.0111,0.2441,0.0610,0.0000,background
0.0385,-0.0242,1.0111,0.3052,0.0000,0.0610,background
0.0397,-0.0238,1.0104,0.1831,-0.0610,0.0000,background
0.0398,-0.0248,1.0100,0.1831,-0.1221,0.0000,background
0.0388,-0.0240,1.0112,0.2441,-0.0610,0.0610,background
0.0398,-0.0238,1.0101,0.3052,-0.0610,0.0000,background
0.0398,-0.0244,1.0103,0.3052,0.0000,0.0610,background
0.0369,-0.0245,1.0105,0.2441,-0.0610,0.0610,background
0.0394,-0.0249,1.0094,0.1831,-0.0610,0.0000,background
0.0393,-0.0245,1.0105,0.2441,0.0000,0.0610,background
0.0405,-0.0232,1.0098,0.3052,0.0000,0.1221,background
0.0389,-0.0255,1.0104,0.1831,-0.0610,0.0000,background
0.0385,-0.0251,1.0107,0.3662,-0.1221,0.0000,background
-0.1240,-0.6395,1.6295,-341.0644,-195.4346,-72.4487,background
-0.2711,-0.6995,1.1351,-218.3838,-193.7256,-104.3091,background
-0.2487,-0.3906,0.7728,-133.9111,-114.3188,-126.3428,background
-0.3090,-0.1151,0.2736,-134.3994,-93.5669,-91.3086,background
-0.3962,0.0387,0.1400,-58.4717,-62.5610,-93.2007,background
-0.2701,0.0566,-0.0985,-39.5508,-31.3721,-99.9145,background
-0.1481,0.0823,-0.1647,-3.3569,43.6401,-46.0205,background
-0.0668,-0.0861,-0.1317,63.1103,133.9111,-2.8687,background
-0.0031,-0.1350,0.6592,24.4751,312.3779,-5.0049,background
-0.0575,-0.1312,1.6881,19.4092,313.3545,-27.4048,background
-0.0513,-0.0458,2.1261,20.3857,169.0063,-18.0664,background
-0.0961,0.2305,2.3910,39.0015,14.2212,-32.1655,background
0.2067,0.7749,2.1597,37.7808,-92.2241,-45.5933,background
0.2549,0.7582,1.6790,-27.7100,-100.4028,50.6592,background
0.3220,0.4381,1.0691,-98.1445,-124.5117,182.0679,background
0.1877,-0.2257,0.4854,-97.7173,-84.5947,222.2290,background
-0.1406,-0.8514,0.3699,-53.5278,-20.0195,152.0386,background
-0.1440,-0.7842,0.5529,-20.6909,-16.2354,92.4683,background
-0.2103,-1.0317,0.3975,-10.6812,8.3008,20.1416,background
-0.3610,-1.2473,0.5925,13.7329,14.0991,-24.7803,background
-0.1146,-1.2421,0.9302,2.6855,67.7490,-82.0312,background
0.1373,-0.8807,1.1951,25.6348,47.7905,-155.3955,background
0.2980,-0.3439,1.0581,42.8467,11.8408,-216.1865,background
0.3313,0.1060,0.9216,82.8247,8.0566,-247.1313,background
0.3297,0.6704,0.9141,44.5557,37.8418,-241.0278,background
0.2042,1.0240,1.3053,20.5688,84.1064,-156.9824,background
0.0569,1.0875,2.0509,-0.8545,78.3081,-63.2935,background
-0.0312,0.7103,2.3860,-52.1240,-5.7373,38.1470,background
-0.0400,0.2266,2.1788,-55.7861,-77.3315,67.9932,background
0.0127,0.1292,1.8547,3.8452,-220.1538,81.1157,background
0.0208,0.0044,1.0345,9.3384,-218.8721,78.1250,background
0.0106,-0.0348,0.4897,-8.1787,-197.3877,26.1841,background
-0.1130,0.0276,0.1104,13.5498,-178.7109,19.4702,background
-0.2223,-0.0524,-0.0673,-4.2114,-113.2812,11.0474,background
-0.2115,0.0394,-0.3610,14.7095,-67.8101,21.1792,background
-0.2375,-0.0784,-0.5756,63.3545,5.8594,28.3203,background
-0.1581,-0.2278,-0.3988,48.2788,110.2295,27.9541,background
0.0580,-0.2487,-0.0863,49.4995,187.1948,20.3247,background
0.3199,-0.2784,0.8116,25.3906,239.6240,16.3574,background
0.2100,-0.1227,1.5254,-3.7231,261.5356,2.9907,background
0.1368,0.0507,1.9329,5.6763,212.5854,-15.3809,background
-0.0715,0.3270,2.5782,18.1274,111.3892,2.7466,background
-0.0813,0.5557,2.5698,-11.7798,12.3901,15.6860,background
0.1460,0.7815,2.0743,-7.8125,-74.1577,62.6221,background
0.3806,0.6531,1.4493,-9.1553,-98.3276,153.3813,background
0.5203,0.0181,0.7723,9.5825,-129.4556,212.3413,background
0.0659,-1.1621,0.4677,-76.1108,-54.0771,193.9697,background
0.0211,-0.7047,0.2979,-22.1558,-38.3301,124.7559,background
0.0447,-0.5247,0.1926,-60.7910,37.2925,113.7695,background
-0.3146,-1.2025,0.8224,-120.8496,84.1675,75.0732,background
0.6826,1.0916,2.2542,111.6943,-175.5981,-288.3301,background
0.8292,1.5029,1.7322,49.6216,-232.3608,-177.7954,background
0.6858,1.4727,0.6761,-14.5874,-194.0307,-45.5933,background
0.5525,1.1168,0.3275,-35.5225,-144.5923,74.6460,background
0.4851,0.5985,0.2637,-46.0815,-107.5439,151.7944,background
0.5820,0.3718,0.0957,-96.7407,-29.7852,279.3579,background
0.4418,-0.6534,0.1932,-94.2383,-8.8501,275.2075,background
0.1062,-1.0511,0.3297,-86.8530,74.7681,240.0513,background
-0.1550,-1.3738,0.5731,-86.6699,106.5674,194.3970,background
-0.4994,-1.6216,0.9839,-126.8310,175.8423,93.0176,background
-0.7378,-1.6835,1.3481,-114.5019,175.8423,-55.6030,background
-0.5714,-1.5599,1.6603,-69.5190,130.6152,-217.3462,background
-0.1479,-0.7412,2.0148,72.3877,-43.7012,-335.8154,background
0.2377,-0.1256,1.8104,110.1684,-53.8330,-355.6518,background
0.6333,1.2498,1.7683,177.3071,-192.8100,-358.2763,background
0.8580,1.6803,1.3802,223.8769,-287.3535,-219.9707,background
0.8052,1.5825,0.8450,8.7280,-88.7451,-17.2729,background
0.4905,0.9114,1.1418,-39.9780,23.7427,117.4316,background
0.1794,0.4913,1.1306,-147.5220,65.6128,309.6313,background
-0.3876,-0.5131,1.3928,-195.1904,85.3882,373.2299,background
-0.3975,-0.4713,1.3752,-148.4985,105.1636,311.9507,background
-0.3220,-1.0499,1.3839,-91.6748,38.2080,294.1284,background
-0.5125,-1.5154,1.0785,-195.0683,-3.3569,166.6870,background
-0.4083,-1.2466,0.8557,-150.9399,-1.5259,63.0493,background
-0.5553,-1.5659,1.0048,-54.6265,-21.2402,-95.4590,background
-0.0913,-0.8684,1.1196,-69.8853,18.8599,-151.3062,background
-0.0717,-0.7527,1.3010,1.8311,-12.6343,-218.6279,background
0.2721,-0.3588,1.3934,134.9487,-137.0850,-314.7583,background
0.6184,0.4154,1.2487,272.6440,-269.0430,-366.5771,background
0.7230,0.9430,0.7539,152.8931,-246.5820,-266.1743,background
0.6938,1.1913,0.3385,98.6328,-105.7129,-114.2578,background
0.6440,0.9132,0.3138,25.1465,62.3779,79.6509,background
