ax,ay,az,gx,gy,gz,label
-0.1313,-0.2335,1.0385,9.0332,-3.9062,-22.6440,circle
-0.1917,-0.2747,1.0171,23.3765,-0.0610,-46.5698,circle
-0.2262,-0.1492,1.0045,26.1841,3.2349,-63.3545,circle
-0.2812,-0.0896,1.0515,28.3813,2.0752,-71.4722,circle
-0.3101,-0.0187,1.0084,35.7666,0.7324,-73.0591,circle
-0.2751,0.0267,1.0432,32.0435,1.4648,-71.4111,circle
-0.2430,0.1167,1.0504,32.0435,-4.0894,-66.4673,circle
-0.2083,0.2004,0.9698,29.9072,-8.4229,-50.7812,circle
-0.1306,0.1949,1.0437,44.3115,12.5732,-44.6777,circle
-0.1248,0.1992,1.0927,55.9082,10.1929,-38.3301,circle
-0.0953,0.1371,1.0978,-0.2441,0.7324,-3.4180,circle
-0.1493,0.0853,0.9919,-24.2920,2.3804,14.7095,circle
-0.0736,0.0542,1.0060,-6.5308,3.1128,10.6201,circle
-0.0314,0.0909,0.9828,3.0518,-2.9907,0.3662,circle
0.0146,0.0879,0.9667,-0.3052,1.8921,4.5166,circle
0.1274,0.2207,1.0779,-29.4189,3.4790,12.4512,circle
0.1841,0.2894,1.1198,-18.5547,-12.8784,24.9634,circle
0.1948,0.2187,1.0233,8.7280,-19.1650,43.2129,circle
0.2091,0.1732,0.9878,-4.1504,-18.9209,49.6216,circle
0.2031,0.1106,0.9667,-0.9766,-18.1885,60.7300,circle
0.1849,0.0146,0.9030,-3.1128,-15.8691,58.4106,circle
0.1868,-0.0122,0.8876,12.1460,-12.6953,64.3921,circle
0.1650,-0.0897,0.8688,9.3384,-4.8218,64.4531,circle
0.1968,-0.2419,1.0016,-2.0752,0.4272,57.5561,circle
0.1360,-0.2124,0.9760,-12.6343,-8.3618,57.7393,circle
0.1099,-0.2625,0.9861,4.2114,-0.1221,50.7812,circle
0.0654,-0.3817,1.0408,-2.9297,-4.5166,39.6118,circle
0.0658,-0.2899,1.0234,-4.4556,-3.4180,25.8789,circle
0.0221,-0.3641,1.0275,6.1035,-2.5635,20.7520,circle
0.0143,-0.3855,1.0248,3.7842,-3.8452,3.0518,circle
-0.0449,-0.3441,1.0194,-1.9531,-9.2163,-7.0190,circle
-0.1206,-0.4001,1.0204,-1.1597,-8.0566,-27.7710,circle
-0.2145,-0.2869,0.9740,14.3433,4.9438,-48.4619,circle
-0.2367,-0.2322,1.0439,19.4092,8.9111,-64.0259,circle
-0.2897,-0.1641,1.0442,13.2446,-0.7324,-66.7725,circle
-0.3264,-0.1278,0.8988,21.0571,-7.6904,-63.5376,circle
-0.2598,-0.1189,0.9376,0.7324,13.7329,-64.3311,circle
-0.2229,0.0913,1.0813,-4.8828,18.0054,-63.7207,circle
-0.2335,0.0704,1.0018,20.0195,3.6011,-43.6401,circle
-0.1691,0.0411,0.9381,-9.2773,5.2490,-34.7290,circle
-0.1534,0.0847,0.9824,-18.6157,2.0752,-41.3208,circle
-0.0673,0.1669,0.9567,-29.5410,-3.6011,-31.7993,circle
-0.0568,0.1676,0.9617,-3.5400,18.6157,-6.1646,circle
0.0836,0.3107,1.2046,-10.8032,21.6675,-1.2817,circle
0.0425,0.2631,1.1804,12.5732,1.2817,27.4048,circle
0.0184,0.1157,1.0421,-6.0425,-16.2964,34.0576,circle
0.0006,0.1086,0.9178,11.9629,-6.2866,32.6538,circle
0.0848,0.0780,1.0569,-5.3711,-2.0142,35.2783,circle
0.0765,0.0573,1.0077,-6.7139,-7.1411,48.5840,circle
0.0844,-0.0087,1.0198,-1.8921,-7.2021,51.2085,circle
0.0028,0.1211,1.0458,28.0151,9.8267,-1.9531,circle
0.0422,0.1133,0.9890,22.3999,10.9863,12.8784,circle
0.1234,0.0992,1.0978,18.5547,6.4087,10.5591,circle
0.1843,0.1921,1.1432,5.3101,-0.2441,21.4844,circle
0.1924,0.1616,1.0616,11.8408,-19.5923,37.1094,circle
0.2605,0.1442,1.0012,13.6108,-14.9536,41.2598,circle
0.2550,0.0382,0.9938,23.5596,-25.3296,54.5654,circle
0.2435,-0.0771,0.9329,15.9912,-29.9072,63.9648,circle
0.2456,-0.2103,0.9281,16.2354,-36.6211,59.6924,circle
0.1594,-0.2930,0.9199,8.2397,-36.6821,58.4106,circle
0.1227,-0.2966,0.8718,9.3994,-39.7339,41.5649,circle
-0.0115,-0.3977,0.7784,18.0054,-30.1514,37.9639,circle
-0.0253,-0.4752,0.8058,11.4136,-5.8594,20.9351,circle
-0.0343,-0.5443,0.8348,-11.7798,-8.3008,20.3857,circle
-0.1316,-0.5538,0.7892,-25.6958,-3.4180,5.6152,circle
-0.1721,-0.5062,0.8085,-11.7798,17.1509,-15.2588,circle
-0.1693,-0.4323,0.8854,1.0986,37.4756,-47.2412,circle
-0.1586,-0.4191,0.9879,10.9863,52.4902,-58.5937,circle
