ax,ay,az,gx,gy,gz,label
-0.2152,-0.1838,0.9644,3.1738,1.0376,15.5640,rest
-0.1870,-0.2386,0.9507,0.0610,3.4180,20.8740,rest
-0.1481,-0.2939,0.9681,8.6060,-3.4180,0.9766,rest
-0.1956,-0.2748,0.9429,1.0986,-2.6245,-1.1597,rest
-0.2118,-0.2214,0.9506,-5.2490,-4.0894,-1.1597,rest
-0.2158,-0.2112,0.9512,-1.4038,-2.9297,0.3662,rest
-0.2161,-0.2393,0.9459,2.8687,-2.3193,-2.1973,rest
-0.2260,-0.2285,0.9347,4.0894,-0.3052,-2.9297,rest
-0.2095,-0.2352,0.9493,8.5449,0.9766,-4.3945,rest
-0.2013,-0.2347,0.9961,3.1128,7.0190,-5.1270,rest
-0.2028,-0.2308,0.9443,-19.7144,7.5073,2.1973,rest
-0.1897,-0.2670,0.9572,3.7842,-5.3101,2.0752,rest
-0.2065,-0.2095,0.9446,4.3945,2.8687,-4.2114,rest
-0.1967,-0.1870,0.9700,2.5635,7.5073,-0.0610,rest
-0.1676,-0.2053,0.9757,6.2866,0.4883,6.2256,rest
-0.1869,-0.2561,0.9569,-8.5449,-0.7324,6.8970,rest
-0.2225,-0.2389,0.9435,-10.4370,0.5493,2.1362,rest
-0.1985,-0.1897,0.9213,-13.3057,5.0659,1.2817,rest
-0.2012,-0.2676,1.0038,19.7144,2.0752,4.5776,rest
-0.1914,-0.2455,0.9436,-7.9956,-0.1221,-3.7842,rest
-0.1736,-0.2213,0.9604,-9.0332,1.4038,-6.4087,rest
-0.1782,-0.2084,0.9598,-4.1504,0.5493,-6.3477,rest
-0.1902,-0.2018,0.9559,-2.0752,-2.3804,-7.2021,rest
-0.1880,-0.2323,0.9738,0.4272,-2.6855,-9.7656,rest
-0.1719,-0.2194,1.0027,-1.9531,-6.4087,-7.6294,rest
-0.2291,-0.1677,0.9387,-9.8877,-13.6719,2.0752,rest
-0.2328,-0.1980,0.9462,-1.7090,-11.8408,0.2441,rest
-0.2317,-0.1882,0.9420,2.0752,-0.0610,0.6714,rest
-0.2140,-0.1935,0.9596,7.7515,-0.0610,0.7324,rest
-0.2054,-0.2137,0.9554,5.7373,1.7090,1.7700,rest
-0.2173,-0.2047,0.9530,12.5122,2.8076,2.6855,rest
-0.2187,-0.2261,0.9635,9.1553,4.9438,5.3711,rest
-0.1942,-0.2480,0.9540,-4.8218,1.7700,2.0752,rest
