ax,ay,az,gx,gy,gz,label
-0.1941,0.6321,0.9331,90.3320,52.9175,228.0273,shake
0.1815,-0.1692,1.1797,135.2539,57.4341,260.6812,shake
0.3412,-0.9819,0.9288,162.9028,-20.7520,208.9233,shake
0.1884,-1.2362,0.5048,12.0239,-40.7104,95.5810,shake
0.1399,-1.1578,0.6221,-15.3809,-17.0288,-8.1787,shake
0.1775,-1.1556,0.6711,-56.0913,1.3428,-100.4028,shake
0.1068,-0.5929,0.9169,-130.1880,-9.0942,-210.6933,shake
-0.1493,0.1245,0.9471,-115.7226,-15.9302,-216.2475,shake
-0.2390,0.5408,1.1732,-60.2417,-1.2817,-170.6543,shake
-0.3927,0.7993,0.9642,-34.8511,-11.9019,-99.7314,shake
-0.4092,0.8739,0.9194,8.2397,19.1650,40.2222,shake
-0.1510,0.4283,1.0442,93.2617,34.7900,122.1313,shake
-0.0889,0.0994,1.0740,51.3916,18.2495,180.1147,shake
0.1398,-0.6702,0.8851,130.3101,16.4185,201.5381,shake
0.1714,-1.3364,0.7402,44.6777,-16.9067,93.5669,shake
0.0573,-1.2227,0.5874,-9.3994,-22.6440,-19.5923,shake
0.0248,-0.7354,0.7988,-89.5386,-5.3101,-127.5024,shake
-0.0035,-0.3795,0.9926,-104.2480,0.1831,-180.6640,shake
-0.1093,0.2384,1.1013,-79.8340,-11.7798,-189.3310,shake
-0.2662,0.5544,0.9376,-43.5181,-13.4888,-138.1226,shake
-0.3577,0.9767,1.0107,-27.4048,-11.7798,-57.9224,shake
-0.3831,0.9000,0.8801,27.2217,1.7090,86.0596,shake
-0.1559,0.4634,1.0282,77.3315,28.6255,164.3677,shake
-0.0264,-0.0294,1.1411,79.2847,19.5313,206.3598,shake
0.1586,-0.9530,0.8029,138.1226,0.4272,185.2417,shake
0.1069,-1.4067,0.5282,34.1187,-6.2256,43.2129,shake
0.0834,-1.1802,0.6871,-33.2031,10.3149,-56.8848,shake
0.0564,-0.7264,0.9163,-122.1313,-9.3994,-156.0059,shake
-0.0510,-0.0615,1.0880,-84.4726,1.2817,-189.2700,shake
-0.1353,0.3956,1.0869,-52.0019,-23.8647,-164.5508,shake
-0.3674,0.8625,0.9681,-49.3164,-23.0713,-101.3794,shake
-0.3981,1.0055,0.9503,6.4697,-6.8359,33.0200,shake
-0.2711,0.6045,0.9773,59.6313,20.7520,132.9346,shake
-0.0859,0.2051,1.1589,83.1299,22.0337,202.4536,shake
0.1193,-0.6292,1.0013,113.8916,-10.9863,198.3642,shake
0.0529,-1.3688,0.4711,82.5195,-18.5547,100.0366,shake
0.0554,-1.2511,0.6224,0.6714,9.5215,-18.7988,shake
0.0256,-0.8318,0.8596,-97.1680,3.5400,-113.4643,shake
-0.0302,-0.3542,0.9291,-79.1016,18.5547,-186.4014,shake
-0.1288,0.2538,1.1124,-89.7217,-5.1880,-204.1626,shake
-0.2950,0.7959,1.0795,-49.4385,-18.6768,-115.2954,shake
-0.3604,0.8340,0.9340,-15.6860,-10.3760,-21.7285,shake
-0.3569,0.8303,0.9572,46.4478,23.7427,87.0972,shake
-0.1000,0.3124,1.1416,97.9614,33.2642,159.0576,shake
0.0784,-0.2549,1.2247,89.4165,-33.3252,170.2881,shake
-0.0565,-0.6545,0.6677,79.9561,-60.0586,154.1748,shake
-0.0264,-1.3352,0.4116,77.8198,15.3809,63.6597,shake
0.0890,-1.2751,0.6560,-46.4478,21.6675,-56.9458,shake
-0.0010,-0.7220,0.9241,-132.7515,-6.7749,-157.4097,shake
-0.0703,-0.0284,0.9447,-97.7783,5.3711,-188.4765,shake
-0.1771,0.7255,1.1770,82.8857,13.0005,138.4888,shake
0.0557,-0.0275,1.0687,118.9575,-36.9263,214.5996,shake
0.0090,-0.7323,0.8414,74.3408,-47.4853,194.3970,shake
-0.0563,-1.4578,0.4896,111.8774,-16.9067,68.2983,shake
-0.0292,-1.3860,0.4423,-73.7915,1.5259,-60.5469,shake
-0.0922,-0.6462,0.7566,-156.9214,32.4707,-145.5688,shake
-0.1248,-0.0022,1.0703,-116.6992,35.0952,-186.1572,shake
-0.2186,0.5333,1.0708,-72.2046,20.4468,-157.2266,shake
-0.3447,0.9603,1.1296,-35.4004,5.4932,-70.6177,shake
-0.2991,0.9711,0.9585,35.9497,-0.2441,47.0581,shake
-0.1598,0.5975,1.0426,94.8486,14.5264,169.6777,shake
0.1000,-0.2483,1.1924,115.1733,-12.0850,189.5141,shake
0.0284,-0.8386,0.8989,63.2324,-61.4624,120.1782,shake
-0.1006,-1.3512,0.4250,90.5151,-25.4517,41.6260,shake
-0.0461,-1.2094,0.5312,-85.5102,12.9395,-76.7822,shake
-0.1193,-0.4462,0.9122,-150.9399,31.7383,-145.5078,shake
-0.1294,0.0416,1.0916,-106.9336,18.0054,-191.2231,shake
-0.2874,0.7936,0.9843,-96.8018,-5.8594,-151.3672,shake
-0.3286,1.1577,1.0610,-17.2119,5.6152,-34.3018,shake
-0.2919,0.8829,0.9524,45.7153,-0.8545,84.4116,shake
-0.0779,0.3379,1.0831,76.1108,13.0615,194.3970,shake
0.0919,-0.3607,1.2140,116.9434,-20.5078,181.8237,shake
