ax,ay,az,gx,gy,gz,label
-0.3342,-0.1033,0.9274,-79.5898,-2.5635,59.0210,updown
0.0779,-0.3179,0.9178,-127.9297,63.9648,-35.4004,updown
-0.1897,-0.2717,1.1555,139.8926,49.0723,14.8926,updown
-0.0087,-0.0682,0.6550,50.2930,-47.4853,-20.5078,updown
-0.1056,0.0656,0.7698,145.5688,-12.6343,-33.6914,updown
-0.3115,-1.1935,1.0513,-5.3101,24.4751,-61.9507,updown
-0.0505,-0.1473,1.1132,-218.5669,40.2832,-120.3613,updown
-0.3665,-0.0166,1.0846,-231.2622,26.1230,-120.0561,updown
-0.0764,0.0442,1.0839,-90.3320,28.1372,-5.4321,updown
-0.2605,0.0031,0.7306,5.3711,-65.6738,-52.2461,updown
-0.0383,-0.0461,0.7291,70.4346,2.3193,-106.7505,updown
-0.2159,0.0138,0.8718,83.5571,-28.8086,-84.5337,updown
-0.1956,-0.0348,0.7397,46.2646,31.4941,-39.6729,updown
-0.0726,0.0734,2.3123,94.9097,128.7231,-32.4097,updown
-0.2842,-0.5521,0.5212,15.0146,24.5361,-2.8687,updown
-0.2565,-0.0114,1.2998,-170.3491,31.6162,105.1025,updown
0.0609,0.1975,1.7538,-68.7866,64.3311,55.0537,updown
0.0602,-0.0920,1.5930,41.5039,-200.8667,-55.2368,updown
-0.0812,-0.0344,1.1329,32.1655,-123.4131,-45.2881,updown
-0.1021,-0.0725,0.8545,23.6206,-112.9761,-25.0854,updown
-0.1510,0.0024,0.3899,45.0439,-59.9976,-21.3013,updown
-0.1544,-0.0020,0.2933,48.5840,-23.1323,-22.8271,updown
-0.1832,-0.0098,0.0111,54.9316,-4.2725,-22.7661,updown
-0.1174,-0.0023,0.0815,37.1094,51.2085,-1.8311,updown
-0.0740,-0.1426,0.2607,-0.3052,84.3506,12.3291,updown
0.0231,-0.1277,0.7172,12.7563,130.6763,-13.9160,updown
0.0310,-0.1848,1.6787,-16.6626,139.3433,-4.3335,updown
-0.1311,-0.1869,1.7360,-1.7700,66.8945,-11.8408,updown
-0.3741,-0.2511,1.7413,-13.1226,59.5703,-4.7607,updown
-0.3247,-0.3447,2.0465,-27.2827,37.0483,3.2349,updown
-0.0522,-0.2528,2.0997,4.9438,-44.0674,-0.3662,updown
0.0106,-0.1547,1.5118,16.0522,-116.2109,-1.4648,updown
0.0286,-0.1415,1.0271,53.9551,-104.9805,-7.3242,updown
0.0458,-0.0967,0.7577,31.7993,-97.6562,-2.6245,updown
-0.0122,-0.0392,0.4143,16.0522,-109.1919,-3.5400,updown
-0.0181,-0.0695,0.2128,64.7583,-57.8003,-10.9253,updown
-0.0626,-0.0676,0.0878,27.4048,-29.1748,18.0664,updown
-0.0380,-0.2035,0.0404,-9.5825,-3.6011,17.0288,updown
-0.0198,-0.2599,0.0078,-25.8789,42.3584,-5.7373,updown
-0.0017,-0.1373,0.2932,-2.4414,83.1299,-18.7378,updown
0.0585,-0.1437,0.6174,-52.6123,100.7080,-10.1318,updown
0.0195,-0.0648,0.9637,-53.7109,119.8730,-15.5640,updown
0.0063,-0.1107,1.4171,-38.2690,130.6763,-16.1133,updown
-0.1868,0.0070,1.8102,-57.0068,103.6377,6.4087,updown
-0.2588,-0.0648,2.1710,-34.0576,76.1108,13.1836,updown
-0.1555,-0.2445,2.4985,-16.2964,11.2915,26.7944,updown
-0.0347,-0.2974,2.1129,16.9067,-71.8384,9.7656,updown
0.0038,-0.1761,1.5751,44.0063,-113.8306,-15.3198,updown
0.0380,-0.0264,1.1016,21.9116,-135.0098,-9.2163,updown
0.0200,-0.0087,0.7703,12.6953,-129.8218,0.0000,updown
-0.1644,-0.0315,0.0529,2.1362,3.0518,9.1553,updown
